date,PM25,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,PM25_IAQI,PM10_IAQI,SO2_IAQI,NO2_IAQI,CO_IAQI,O3_IAQI,AQI,code,
2015_1_1,43.73870370370369,64.97333333333333,18.897222222222222,29.91666666666668,1.3768518518518518,45.04462962962965,1.1577777777777776,-0.6300000000000002,268.4705555555555,29.134814814814806,73135.3912962963,60.923379629629615,57.486666666666665,31.49537037037037,37.39583333333335,34.4212962962963,22.522314814814823,60.923379629629615,630200,
2015_1_2,28.069074074074074,42.39870370370371,12.024444444444443,21.33666666666667,1.0451851851851854,50.05481481481482,7.05537037037037,-1.6887037037037038,271.33444444444444,25.99703703703704,73024.98999999999,40.09867724867725,42.39870370370371,20.040740740740738,26.670833333333338,26.129629629629637,25.02740740740741,42.39870370370371,630200,
2015_1_3,23.71203703703704,37.81962962962963,11.953333333333328,14.531111111111114,1.1540740740740743,56.34333333333333,4.402777777777779,-0.9833333333333331,274.47740740740727,21.404999999999998,72662.73407407406,33.87433862433863,37.81962962962963,19.922222222222214,18.16388888888889,28.851851851851855,28.171666666666663,37.81962962962963,630200,
2015_1_4,40.80888888888889,62.86314814814815,20.736481481481473,23.016296296296293,1.325185185185185,46.8511111111111,-1.502962962962963,0.327037037037037,271.9194444444444,43.949629629629634,72413.65333333334,57.261111111111106,56.43157407407408,34.56080246913579,28.770370370370365,33.129629629629626,23.42555555555555,57.261111111111106,630200,
2015_1_5,24.83981481481481,36.665925925925926,9.870555555555555,12.604444444444445,0.542962962962963,52.97555555555555,-1.9579629629629627,1.008703703703704,263.2733333333333,83.41685185185185,72768.60037037036,35.485449735449734,36.665925925925926,16.450925925925926,15.755555555555556,13.574074074074074,26.487777777777776,36.665925925925926,630200,
2015_1_6,21.41092592592592,28.233148148148143,7.257037037037038,11.491296296296298,0.6066666666666666,59.154444444444444,4.299259259259258,-1.6198148148148146,264.4324074074074,67.12185185185186,72655.79185185187,30.587037037037028,28.233148148148143,12.095061728395063,14.364120370370372,15.166666666666664,29.577222222222222,30.587037037037028,630200,
2015_1_7,22.70703703703704,32.08666666666666,9.538333333333334,12.974814814814813,0.7764814814814814,54.931481481481505,3.100370370370371,-0.8646296296296297,265.8633333333334,35.36907407407408,73070.64814814815,32.438624338624344,32.08666666666666,15.897222222222224,16.218518518518515,19.412037037037035,27.465740740740753,32.438624338624344,630200,
2015_1_8,15.756111111111116,22.754629629629637,6.221666666666665,10.141111111111115,0.5425925925925927,57.890000000000015,5.940185185185184,-1.1109259259259257,264.6787037037038,40.32870370370371,73385.9288888889,22.508730158730167,22.754629629629637,10.369444444444442,12.676388888888894,13.564814814814818,28.945000000000007,28.945000000000007,630200,
2015_1_9,11.428333333333335,17.48148148148148,5.4614814814814805,8.547407407407407,0.5270370370370371,60.191481481481475,7.0966666666666685,-1.783888888888889,265.95703703703697,31.14722222222222,73287.39351851853,16.32619047619048,17.48148148148148,9.102469135802467,10.684259259259258,13.175925925925927,30.095740740740737,30.095740740740737,630200,
2015_1_10,17.041481481481483,25.98833333333334,10.14648148148148,13.120925925925926,0.7999999999999999,58.42425925925927,6.142962962962963,-0.8766666666666666,268.74500000000006,23.817037037037032,73128.97537037039,24.34497354497355,25.98833333333334,16.910802469135803,16.401157407407407,20.0,29.212129629629636,29.212129629629636,630200,
2015_1_11,17.69,25.69185185185185,9.592037037037038,11.173333333333336,0.8125925925925926,59.543333333333344,6.658518518518519,-0.5537037037037039,267.89703703703697,28.52537037037038,73206.85111111111,25.271428571428572,25.69185185185185,15.98672839506173,13.966666666666669,20.314814814814817,29.771666666666672,29.771666666666672,630200,
2015_1_12,12.776851851851852,19.108148148148146,7.341666666666665,10.670555555555554,0.7053703703703705,57.159629629629634,7.2849999999999975,-1.351296296296296,269.33166666666665,28.13611111111111,73050.5514814815,18.252645502645503,19.108148148148146,12.236111111111109,13.338194444444442,17.634259259259263,28.579814814814817,28.579814814814817,630200,
2015_1_13,23.759814814814817,34.834259259259255,11.81425925925926,16.689444444444444,0.8512962962962961,51.22203703703705,3.547037037037038,-0.13574074074074066,269.2401851851852,30.82666666666667,72923.73925925924,33.9425925925926,34.834259259259255,19.690432098765434,20.861805555555556,21.2824074074074,25.611018518518524,34.834259259259255,630200,
2015_1_14,26.345925925925926,36.28222222222222,9.88648148148148,15.39796296296296,0.6537037037037038,54.97796296296297,1.7201851851851853,-0.09074074074074075,268.64870370370375,36.51407407407408,72924.58055555554,37.63703703703704,36.28222222222222,16.47746913580247,19.2474537037037,16.342592592592595,27.488981481481485,37.63703703703704,630200,
2015_1_15,32.853518518518506,47.27722222222222,12.178333333333338,17.37814814814815,0.6911111111111111,50.541666666666664,0.07462962962962966,0.503148148148148,265.695,50.88814814814815,73044.46388888889,46.93359788359787,47.27722222222222,20.29722222222223,21.722685185185185,17.27777777777778,25.270833333333332,47.27722222222222,630200,
2015_1_16,41.7175925925926,61.747037037037025,13.52055555555556,20.879814814814814,0.9707407407407408,54.45240740740741,1.3499999999999994,-0.5461111111111111,266.2611111111112,52.02907407407407,73086.01203703703,58.396990740740755,55.87351851851851,22.53425925925927,26.099768518518516,24.26851851851852,27.226203703703703,58.396990740740755,630200,
2015_1_17,29.352037037037032,44.30907407407407,8.89648148148148,12.495555555555555,0.6264814814814815,60.91499999999999,4.459444444444445,-0.45962962962962955,264.50166666666667,55.39814814814814,73138.7362962963,41.93148148148148,44.30907407407407,14.827469135802467,15.619444444444444,15.662037037037038,30.457499999999996,44.30907407407407,630200,
