date,PM2.5(微克每立方米), PM10(微克每立方米), SO2(微克每立方米), NO2(微克每立方米), CO(毫克每立方米), O3(微克每立方米), U(m/s), V(m/s), TEMP(K), RH(%), PSFC(Pa),code,
1_1,27.905427350427345,69.67239850427349,8.034567307692308,10.569599358974358,0.5908547008547007,53.69192841880345,0.9992414529914543,-0.06794337606837586,266.30569444444444,49.47933226495727,78717.26788461539,620000,
1_2,23.16455662393162,52.18480235042736,9.543664529914532,9.429358974358975,0.4786111111111105,50.211319444444456,-2.6592895299145303,0.32428952991453,263.93514957264955,65.32516559829061,78897.02451388887,620000,
1_3,25.190940170940173,49.15523504273505,12.150037393162393,11.450902777777777,0.5369017094017093,46.46212072649573,-3.6472168803418796,2.0418643162393155,262.70161324786324,70.90137286324784,78825.9232959402,620000,
1_4,30.884732905982915,50.45316239316237,10.38053418803419,10.209326923076926,0.5794444444444444,46.93364316239317,-0.35514957264957286,2.1023290598290605,263.85738247863253,61.24769764957266,78471.1666826923,620000,
1_5,29.596522435897423,42.40566239316239,9.074962606837603,8.325208333333334,0.5531677350427349,45.88936431623931,0.20146901709401782,1.2064476495726495,263.8569818376069,67.17732905982906,78363.05037393162,620000,
1_6,28.302115384615384,43.59638354700854,9.889583333333334,7.448002136752138,0.5541185897435895,50.549967948717956,1.3111431623931622,-1.3356517094017095,260.7195779914529,73.98290064102564,78519.84978632478,620000,
1_7,21.228023504273498,40.46922542735044,7.006527777777776,4.797489316239317,0.38683226495726464,59.4042094017094,3.438819444444442,-3.1800534188034195,258.58710470085475,62.4298717948718,78829.71316239316,620000,
1_8,13.851917735042733,26.980379273504273,5.42434829059829,6.217094017094017,0.37721688034188017,70.85778311965815,5.092238247863248,-2.9174519230769236,260.46638888888884,39.124540598290636,79140.48766559822,620000,
1_9,15.365844017094023,29.623482905982915,5.406014957264959,7.874951923076924,0.434433760683761,64.12523504273506,5.5936004273504265,-3.235892094017094,262.4826709401711,39.262740384615384,79340.0967361111,620000,
1_10,16.095379273504275,27.591362179487184,6.949017094017093,10.265918803418801,0.4849999999999998,61.832884615384586,4.435064102564102,-1.90025641025641,264.13907051282047,35.0024626068376,79393.0996741453,620000,
1_11,17.346666666666664,27.62998397435898,6.743295940170938,12.197927350427353,0.5078525641025639,59.10683226495725,2.492863247863246,-0.413990384615385,265.37190705128194,34.08177884615384,79321.64354700853,620000,
1_12,25.09643162393162,40.21596688034189,9.95959935897436,15.011736111111109,0.6340491452991455,53.20547542735043,2.0159081196581194,1.87579594017094,266.72112179487164,37.31060363247863,78840.21676282049,620000,
1_13,30.417991452991455,52.93454059829058,10.461810897435896,14.345758547008545,0.6410470085470087,51.84893162393166,4.086949786324787,0.4084615384615385,266.8855448717948,43.75394764957264,78810.54162927352,620000,
1_14,27.00305555555556,50.224236111111104,8.38221688034188,12.970982905982908,0.6040811965811962,52.560267094017135,2.3345032051282057,1.6692307692307697,268.3332532051282,40.360112179487196,78545.27800213675,620000,
1_15,23.971527777777776,53.704813034188035,6.9070299145299145,10.264668803418807,0.5111485042735039,53.98151175213675,3.4763888888888874,-1.2245512820512814,266.81650106837606,48.10436431623933,78677.60736645301,620000,
1_16,15.003028846153843,36.9775641025641,5.910021367521367,10.244129273504274,0.46433760683760655,55.9565544871795,5.031180555555557,0.5918536324786324,267.7624305555555,45.55604166666668,78269.25593482907,620000,
1_17,13.519198717948719,29.776666666666667,4.433990384615385,7.999647435897434,0.3643643162393167,57.99128739316238,2.526255341880345,-0.8185149572649572,266.15763888888887,50.49254807692309,78589.54496794868,620000,
1_18,18.70685897435897,35.06416666666666,7.77844017094017,11.941634615384613,0.5265331196581198,56.32369658119657,2.2914957264957265,-0.4778258547008549,266.60136752136765,49.45907051282052,78929.46762286326,620000,
1_19,17.609391025641024,31.96036858974359,8.761255341880341,11.729866452991452,0.5254754273504272,55.33131410256408,4.0853311965811985,-0.27404914529914515,267.50496260683747,44.96033653846155,79029.94148504273,620000,
1_20,17.018210470085467,33.76169337606837,7.886869658119657,11.160785256410255,0.4828525641025637,53.05824786324787,4.518525641025646,-0.8169711538461537,267.76212072649577,46.4668108974359,78865.76509615386,620000,
1_21,17.01319978632479,46.27580128205129,7.003557692307691,9.563707264957266,0.42155982905982864,53.216949786324776,5.839310897435895,-1.4398664529914529,267.45289529914527,54.47394764957265,78687.35053418801,620000,
1_22,15.000892094017097,32.61244123931624,6.48397435897436,9.521057692307695,0.43122863247863236,53.71305021367523,2.768707264957264,-1.1297489316239315,268.42871794871814,47.88612713675212,78576.66203525644,620000,
1_23,20.15004273504273,37.23736111111111,8.645090811965812,10.1223344017094,0.4912446581196581,47.980160256410244,-0.29748931623931574,0.34207799145299156,266.89459935897446,55.39351495726496,78539.01517094023,620000,
1_24,25.764738247863246,41.51583867521368,11.557873931623934,11.643894230769233,0.5529166666666667,47.020021367521366,-2.708162393162393,0.7450694444444447,264.040251068376,62.6363247863248,78309.1709348291,620000,
1_25,30.31189636752137,44.262686965811966,11.631634615384613,10.465715811965811,0.5357638888888893,50.026100427350435,-0.8148397435897434,0.9924145299145294,262.6644551282052,64.24261217948715,78494.49653311963,620000,
1_26,36.98709401709401,50.967179487179465,11.387110042735046,11.11096153846154,0.6129273504273502,50.947110042735055,-1.195448717948718,1.6211965811965816,262.7504754273503,63.54858974358975,78352.73503739314,620000,
1_27,34.39538461538461,47.351677350427344,10.412318376068374,8.08551282051282,0.5288514957264956,55.349348290598314,-1.7406623931623932,-0.8677724358974359,260.61369123931627,70.83344017094018,78521.65177884614,620000,
